timestamp,coin,headline,source
2024-01-01T00:00:00,ETH,Bitcoin hash rate steady as miners await next difficulty adjustment,CoinDesk
2024-01-01T01:34:00,ETH,Major exchange files for bankruptcy amid liquidity crisis,Bloomberg
2024-01-01T02:54:00,BTC,"SEC approves spot Bitcoin ETF, market rallies",CoinDesk
2024-01-01T03:49:00,BTC,Ethereum developers announce next testnet upgrade date,Bloomberg
2024-01-01T04:43:00,BTC,FTX collapse triggers industry-wide contagion fears,Bloomberg
2024-01-01T06:26:00,ETH,SEC sues largest crypto exchange for securities violations,CoinDesk
2024-01-01T06:40:00,BTC,"ETH 2.0 staking rewards hit record levels, attracting billions",Reuters
2024-01-01T08:05:00,BTC,PayPal expands crypto payment options globally,CryptoNews
2024-01-01T08:33:00,BTC,"Bitcoin price consolidates near $40,000 support level",Reuters
2024-01-01T08:48:00,BTC,Ethereum developers announce next testnet upgrade date,CoinDesk
2024-01-01T09:53:00,BTC,Major exchange files for bankruptcy amid liquidity crisis,CoinDesk
2024-01-01T11:50:00,BTC,"Bitcoin price consolidates near $40,000 support level",CryptoNews
2024-01-01T13:19:00,ETH,Ethereum developers announce next testnet upgrade date,CoinDesk
2024-01-01T14:51:00,ETH,China bans all cryptocurrency transactions and mining,CryptoNews
2024-01-01T16:18:00,ETH,Crypto market volume remains stable amid low volatility,Bloomberg
2024-01-01T17:53:00,BTC,PayPal expands crypto payment options globally,CoinDesk
2024-01-01T18:57:00,ETH,Ethereum smart contract volume reaches new milestone,Bloomberg
2024-01-01T19:16:00,BTC,SEC sues largest crypto exchange for securities violations,CoinDesk
2024-01-01T20:57:00,ETH,FTX collapse triggers industry-wide contagion fears,CoinDesk
2024-01-01T21:53:00,ETH,"ETH 2.0 staking rewards hit record levels, attracting billions",Bloomberg
2024-01-01T22:55:00,ETH,Ethereum developers announce next testnet upgrade date,Reuters
2024-01-01T23:42:00,BTC,"MicroStrategy adds another 10,000 BTC to treasury reserves",CoinDesk
